T_in_leche,F_flow,T_servicio,t_ciclo,Delta_P,E_consumo,T_out_leche
3.13,5036.24,81.88,285.0,0.643,450.42,72.51
3.07,5148.28,82.26,290.0,0.662,447.82,72.56
2.95,5205.21,82.49,295.0,0.673,459.84,72.5
3.24,5101.52,82.13,300.0,0.647,443.38,72.49
3.2,4443.38,79.95,305.0,0.493,383.32,72.41
3.13,4630.02,81.21,310.0,0.519,405.23,73.04
3.4,5152.02,82.32,315.0,0.689,451.99,72.62
3.11,5034.85,82.0,320.0,0.639,445.79,72.6
3.58,4639.07,80.73,325.0,0.545,397.3,72.59
3.12,5323.39,82.99,330.0,0.734,471.16,72.59
3.28,4791.5,81.26,335.0,0.567,432.67,72.55
2.94,4460.37,80.37,340.0,0.48,399.62,72.56
2.68,4584.55,80.74,345.0,0.51,410.12,72.66
2.39,5160.09,82.63,350.0,0.688,447.2,72.58
2.99,5074.25,82.28,355.0,0.653,439.33,72.69
3.07,4916.09,81.77,360.0,0.647,425.12,72.58
3.19,5121.2,82.44,365.0,0.726,442.94,72.62
3.05,5259.7,82.94,370.0,0.705,467.89,72.6
2.56,5270.92,83.07,375.0,0.7,484.22,72.61
2.92,5232.7,82.9,380.0,0.742,467.66,72.6
2.91,5422.15,83.58,385.0,0.786,496.41,72.57
3.13,4967.38,82.04,390.0,0.665,438.91,72.6
2.92,4670.85,80.82,395.0,0.604,406.76,72.33
3.4,5208.22,82.83,400.0,0.714,457.03,72.6
2.43,4737.15,81.44,405.0,0.638,420.2,72.57
2.96,5007.14,82.26,410.0,0.683,446.18,72.65
3.32,4821.72,81.63,415.0,0.608,416.49,72.62
2.84,4950.58,82.13,420.0,0.667,441.12,72.55
3.11,5081.51,82.54,425.0,0.671,444.71,72.63
3.21,5004.91,82.29,430.0,0.707,438.34,72.61
2.82,4688.86,81.34,435.0,0.61,415.91,72.63
3.53,4703.04,81.31,440.0,0.588,404.73,72.53
2.77,4939.67,82.19,445.0,0.674,437.54,72.56
2.81,4488.27,80.82,450.0,0.541,395.42,72.67
3.35,4222.8,79.94,455.0,0.482,363.4,72.21
2.79,4182.66,80.26,460.0,0.501,369.09,72.68
2.9,4854.33,81.96,465.0,0.638,433.67,72.62
3.11,4611.9,81.18,470.0,0.597,408.42,72.62
3.21,4752.01,81.63,475.0,0.596,413.64,72.62
3.12,4951.91,82.31,480.0,0.638,438.02,72.63
2.86,4938.44,82.32,485.0,0.686,437.24,72.62
2.95,4485.74,80.74,490.0,0.547,394.03,72.46
3.59,4992.48,82.43,495.0,0.693,433.3,72.71
2.79,4898.02,82.25,500.0,0.664,434.72,72.64
2.7,5249.91,83.48,505.0,0.828,462.22,72.6
3.42,4584.54,81.2,510.0,0.6,401.76,72.65
3.56,4863.86,82.09,515.0,0.694,427.62,72.59
3.11,5236.68,83.43,520.0,0.758,470.02,72.6
3.02,4587.94,81.08,525.0,0.553,411.87,72.33
2.91,5102.43,83.04,530.0,0.714,445.13,72.64
2.71,4938.15,82.52,535.0,0.706,435.81,72.6
2.93,4982.65,82.66,540.0,0.668,435.25,72.69
2.95,5052.03,82.91,545.0,0.736,440.05,72.6
2.92,4642.09,80.07,5.0,0.489,429.59,72.69
2.63,4586.05,79.95,10.0,0.445,415.12,72.64
3.06,5256.87,81.99,15.0,0.563,488.25,72.51
3.23,4354.06,79.45,20.0,0.411,408.42,72.63
2.9,4522.31,79.79,25.0,0.424,409.77,72.7
3.25,4953.15,81.06,30.0,0.505,454.01,72.62
3.6,4931.31,80.97,35.0,0.537,454.44,72.51
2.83,4559.96,79.96,40.0,0.463,413.31,72.57
2.63,4156.05,79.27,45.0,0.375,389.61,72.66
3.15,4712.66,80.41,50.0,0.457,431.56,72.61
3.34,4505.74,79.8,55.0,0.445,411.71,72.55
2.98,5138.14,81.8,60.0,0.594,475.85,72.58
2.88,5481.52,82.97,65.0,0.66,524.06,72.59
2.85,4776.27,80.71,70.0,0.514,442.27,72.55
2.54,4543.48,79.98,75.0,0.46,424.89,72.53
2.9,4682.37,80.45,80.0,0.423,430.87,72.65
2.82,4844.33,80.97,85.0,0.526,444.83,72.62
2.51,4935.15,81.32,90.0,0.526,456.19,72.44
3.76,4911.38,81.1,95.0,0.527,437.77,72.62
3.19,5108.66,81.82,100.0,0.552,462.3,72.66
2.89,5174.85,82.1,105.0,0.585,482.94,72.56
3.24,5263.01,82.36,110.0,0.625,477.53,72.6
2.93,5232.4,82.32,115.0,0.652,484.94,72.62
3.16,4202.73,79.53,120.0,0.405,385.89,72.64
3.19,4541.35,80.16,125.0,0.437,421.53,72.63
3.04,4933.35,81.4,130.0,0.544,452.44,72.59
3.6,5070.14,81.78,135.0,0.594,460.65,72.63
3.24,4688.74,80.65,140.0,0.502,428.17,72.64
3.1,4932.15,81.44,145.0,0.592,454.37,72.52
2.95,5107.73,82.04,150.0,0.599,479.4,72.63
3.43,4500.97,80.11,155.0,0.503,411.79,72.5
2.63,4636.29,80.63,160.0,0.49,433.68,72.64
2.95,4875.77,81.35,165.0,0.549,457.76,72.6
3.47,4770.41,80.98,170.0,0.561,434.37,72.64
2.97,5163.56,82.33,175.0,0.646,473.53,72.68
2.85,4966.42,81.71,180.0,0.586,452.51,72.57
2.72,4605.46,80.61,185.0,0.476,431.63,72.6
2.89,4825.54,81.29,190.0,0.574,441.62,72.67
2.78,4870.78,81.47,195.0,0.561,450.08,72.56
2.88,5222.26,82.63,200.0,0.669,476.88,72.54
3.54,4153.84,79.58,205.0,0.406,378.61,72.55
3.25,4419.02,80.18,210.0,0.464,404.15,72.6
3.19,5017.04,81.97,215.0,0.588,448.69,72.6
2.41,5071.22,82.27,220.0,0.588,476.31,72.59
2.76,4301.47,80.08,225.0,0.435,393.61,72.53
3.23,4515.95,80.44,230.0,0.493,409.43,72.56
2.97,4951.06,81.86,235.0,0.583,449.35,72.61
3.26,4379.8,80.22,240.0,0.508,400.43,72.72
2.8,4677.58,80.82,245.0,0.54,427.09,72.52
3.4,4903.76,81.71,250.0,0.561,447.22,72.56
2.88,4984.93,82.06,255.0,0.648,448.2,72.58
3.14,4745.18,81.27,260.0,0.526,436.49,72.57
3.47,4847.12,81.57,265.0,0.593,446.31,72.68
3.38,5111.04,82.47,270.0,0.675,463.58,72.64
2.93,4833.44,81.64,275.0,0.588,437.7,72.61
2.83,4917.77,81.94,280.0,0.618,448.78,72.6
3.25,4550.22,80.73,285.0,0.504,417.61,72.58
2.99,5199.12,82.9,290.0,0.682,474.2,72.56
2.61,5396.19,83.67,295.0,0.743,513.61,72.63
3.09,5133.48,82.7,300.0,0.69,469.93,72.61
3.01,4480.56,80.64,305.0,0.483,411.91,72.66
3.14,4733.11,81.41,310.0,0.58,427.29,72.65
3.11,4942.07,82.11,315.0,0.612,457.05,72.6
3.07,5474.36,83.98,320.0,0.782,518.41,72.56
2.85,4824.35,81.79,325.0,0.622,453.43,72.65
2.6,4854.13,81.94,330.0,0.601,452.77,72.66
3.38,4358.17,81.1,335.0,0.495,397.91,73.1
3.25,5112.58,82.76,340.0,0.685,467.38,72.58
2.66,4978.19,82.41,345.0,0.645,452.75,72.61
2.75,4964.95,82.37,350.0,0.655,454.53,72.57
3.33,4461.22,80.5,355.0,0.515,398.67,72.36
2.94,5254.17,83.38,360.0,0.752,490.36,72.61
3.64,4537.11,80.92,365.0,0.548,403.06,72.64
2.9,4282.54,80.51,370.0,0.473,387.64,72.67
2.97,4800.52,81.89,375.0,0.585,436.86,72.61
2.62,5121.48,83.05,380.0,0.672,476.17,72.58
3.36,4851.0,82.04,385.0,0.604,443.97,72.62
3.56,5133.89,82.99,390.0,0.679,463.86,72.58
2.68,5323.43,83.82,395.0,0.762,501.28,72.6
2.58,4876.93,82.29,400.0,0.658,452.68,72.49
2.99,4835.91,82.12,405.0,0.627,442.23,72.73
3.31,4802.75,81.98,410.0,0.594,441.34,72.57
2.69,5217.12,83.51,415.0,0.751,470.9,72.49
3.14,4869.07,82.26,420.0,0.652,436.17,72.56
3.12,4613.11,81.44,425.0,0.589,422.39,72.7
2.84,5015.01,82.84,430.0,0.66,467.69,72.63
3.4,4707.39,81.75,435.0,0.574,435.71,72.63
3.05,5429.16,84.32,440.0,0.798,518.14,72.59
3.13,4645.22,81.62,445.0,0.599,422.83,72.53
3.17,5170.12,83.42,450.0,0.695,470.93,72.61
2.88,4823.95,82.28,455.0,0.671,440.67,72.55
2.61,4943.14,82.74,460.0,0.677,452.84,72.63
3.31,4962.15,82.73,465.0,0.683,446.69,72.65
2.87,4687.78,81.88,470.0,0.603,428.38,72.51
3.02,4310.44,80.57,475.0,0.497,385.58,72.35
2.59,4959.67,82.88,480.0,0.704,452.0,72.56
3.01,5169.21,83.58,485.0,0.781,473.4,72.6
2.65,4997.87,83.05,490.0,0.681,458.27,72.63
2.85,5090.69,83.36,495.0,0.754,462.87,72.57
2.97,5226.6,83.85,500.0,0.745,485.47,72.55
3.43,4445.72,81.22,505.0,0.553,403.8,72.59
2.53,5430.87,84.72,510.0,0.85,518.33,72.54
3.08,4856.29,82.59,515.0,0.668,435.58,72.62
2.99,5448.7,84.75,520.0,0.844,520.3,72.65
3.28,5139.88,83.59,525.0,0.763,469.66,72.66
3.14,4850.8,82.57,530.0,0.681,442.72,72.55
3.0,4747.25,82.3,535.0,0.657,432.82,72.64
2.98,4862.05,82.71,540.0,0.669,441.43,72.67
3.6,4698.44,82.09,545.0,0.601,425.51,72.6
3.09,5307.42,82.12,5.0,0.591,489.57,72.58
2.63,5199.01,81.85,10.0,0.569,482.99,72.69
3.49,5289.36,82.04,15.0,0.563,495.64,72.59
2.86,4638.28,80.12,20.0,0.471,421.62,72.59
3.48,4530.27,79.76,25.0,0.446,410.46,72.55
2.99,5278.47,82.13,30.0,0.593,489.8,72.58
3.21,4646.78,80.16,35.0,0.452,415.53,72.66
3.09,5395.83,82.55,40.0,0.608,514.65,72.62
3.41,5041.07,81.37,45.0,0.577,450.21,72.51
3.36,4834.13,80.75,50.0,0.479,432.97,72.6
2.52,4799.63,80.76,55.0,0.531,447.4,72.53
2.84,5177.96,81.94,60.0,0.596,483.04,72.65
3.07,5000.37,81.36,65.0,0.513,451.33,72.54
3.21,4471.86,79.56,70.0,0.435,410.67,72.41
3.01,4919.02,81.15,75.0,0.552,437.35,72.62
3.14,4861.48,80.97,80.0,0.512,446.53,72.49
2.98,5195.7,82.07,85.0,0.594,481.52,72.6
2.74,4913.82,81.22,90.0,0.537,453.35,72.71
2.25,5086.89,81.85,95.0,0.599,477.62,72.54
3.04,4961.78,81.37,100.0,0.555,440.47,72.62
2.79,4957.5,81.4,105.0,0.553,448.09,72.61
2.92,4655.38,80.47,110.0,0.493,422.04,72.52
3.41,4948.04,81.33,115.0,0.578,454.23,72.54
2.87,4865.1,81.16,120.0,0.557,445.53,72.57
2.62,4685.99,80.65,125.0,0.498,428.93,72.55
2.73,4841.94,81.14,130.0,0.556,446.67,72.64
3.14,4746.13,80.81,135.0,0.541,426.45,72.52
2.96,5075.08,81.89,140.0,0.588,466.64,72.69
2.89,5341.88,82.81,145.0,0.631,501.19,72.56
3.34,5035.35,81.75,150.0,0.608,450.23,72.58
2.63,5341.64,82.89,155.0,0.664,505.68,72.64
2.49,4506.38,80.24,160.0,0.459,409.08,72.56
2.92,4965.84,81.64,165.0,0.616,450.1,72.55
2.66,4498.81,80.24,170.0,0.462,428.13,72.6
2.76,4589.0,80.52,175.0,0.47,420.02,72.67
4.06,4413.44,79.69,180.0,0.461,402.49,72.35
2.86,4545.9,80.41,185.0,0.497,427.37,72.63
3.44,4867.8,81.36,190.0,0.556,439.63,72.52
3.14,4732.23,80.98,195.0,0.52,439.1,72.6
3.19,5219.06,82.58,200.0,0.68,479.24,72.66
2.42,4677.95,80.94,205.0,0.491,437.52,72.57
2.97,4688.73,80.93,210.0,0.543,433.13,72.61
3.2,5321.32,82.98,215.0,0.687,493.55,72.68
2.89,5035.24,82.08,220.0,0.607,459.94,72.58
3.12,5129.32,82.38,225.0,0.6,465.02,72.7
3.03,4535.28,80.51,230.0,0.504,416.47,72.66
2.73,4771.66,81.3,235.0,0.515,441.14,72.52
2.08,5278.18,83.1,240.0,0.676,489.67,72.46
2.96,4988.51,82.01,245.0,0.601,452.77,72.58
2.08,4742.45,81.34,250.0,0.539,433.94,72.5
3.06,4880.9,81.68,255.0,0.603,457.98,72.59
2.84,4645.11,80.98,260.0,0.521,418.11,72.56
3.55,4770.29,81.3,265.0,0.558,434.41,72.7
3.46,5402.42,83.44,270.0,0.717,514.16,72.59
3.15,5064.36,82.35,275.0,0.623,464.72,72.52
2.76,5268.3,83.12,280.0,0.677,494.98,72.65
3.38,5469.38,83.75,285.0,0.719,525.12,72.65
3.35,5197.78,82.83,290.0,0.716,478.46,72.63
2.45,5237.79,83.12,295.0,0.685,476.46,72.56
3.45,4764.93,81.42,300.0,0.569,427.41,72.61
3.17,4561.23,80.83,305.0,0.553,416.24,72.57
2.86,4956.03,82.16,310.0,0.631,448.53,72.58
2.7,5219.84,83.1,315.0,0.698,476.58,72.6
3.26,4587.35,80.95,320.0,0.538,416.48,72.57
2.34,4996.06,82.42,325.0,0.649,465.05,72.62
3.23,4663.58,81.23,330.0,0.564,418.99,72.6
3.24,5077.27,82.61,335.0,0.624,449.54,72.64
3.54,5106.65,82.68,340.0,0.674,460.63,72.63
2.85,5398.85,83.83,345.0,0.763,508.38,72.65
3.0,4796.72,81.77,350.0,0.588,437.07,72.6
2.38,4983.77,82.49,355.0,0.642,463.43,72.55
2.97,4863.99,82.03,360.0,0.593,446.71,72.59
2.92,4769.75,81.74,365.0,0.6,432.05,72.58
3.34,5059.3,82.67,370.0,0.654,462.53,72.55
2.57,4762.58,81.8,375.0,0.606,433.99,72.63
2.39,4910.35,82.34,380.0,0.643,455.89,72.69
2.93,5493.02,84.33,385.0,0.786,527.53,72.63
2.69,3898.51,79.87,390.0,0.417,370.33,72.6
3.2,5124.55,83.02,395.0,0.693,471.47,72.59
2.86,4677.02,81.58,400.0,0.579,433.86,72.65
3.28,4468.37,80.92,405.0,0.522,409.83,72.69
3.28,4928.04,82.39,410.0,0.643,447.74,72.61
2.55,4558.71,81.29,415.0,0.593,420.48,72.67
3.18,5091.6,83.01,420.0,0.72,459.77,72.6
3.3,5198.17,83.38,425.0,0.748,473.03,72.62
2.47,5321.02,83.97,430.0,0.786,503.79,72.58
2.74,4857.66,82.33,435.0,0.631,438.28,72.54
3.23,4853.97,82.26,440.0,0.62,441.36,72.65
3.21,4569.37,81.05,445.0,0.589,419.3,72.37
3.16,5087.53,83.11,450.0,0.701,463.29,72.57
3.09,5198.49,83.54,455.0,0.744,479.86,72.58
2.91,5022.41,82.96,460.0,0.693,455.08,72.68
2.92,5336.92,84.1,465.0,0.805,501.66,72.62
3.23,5317.93,84.0,470.0,0.794,503.55,72.65
2.82,4307.46,80.91,475.0,0.507,398.16,72.64
2.83,4443.43,81.19,480.0,0.533,414.37,72.57
3.0,5393.95,84.39,485.0,0.804,500.74,72.58
2.85,4885.06,82.62,490.0,0.635,448.57,72.53
2.53,4763.49,82.27,495.0,0.638,434.04,72.57
2.65,4859.36,82.6,500.0,0.666,441.65,72.55
2.82,5318.48,84.22,505.0,0.782,503.69,72.6
2.53,4810.36,82.48,510.0,0.682,437.58,72.55
2.93,5057.65,83.3,515.0,0.755,462.7,72.61
3.39,4734.22,82.14,520.0,0.662,430.93,72.58
3.29,4842.63,82.54,525.0,0.647,434.94,72.54
2.73,5275.82,84.19,530.0,0.818,493.21,72.61
2.66,4488.06,81.49,535.0,0.569,412.65,72.59
3.23,4732.5,82.23,540.0,0.621,426.63,72.58
2.82,4104.72,80.75,545.0,0.478,372.45,72.58
3.41,5332.89,81.66,5.0,0.601,477.99,72.61
3.58,5011.58,80.69,10.0,0.538,436.93,72.56
2.72,5241.24,81.5,15.0,0.615,459.35,72.51
3.12,5034.87,80.84,20.0,0.536,433.61,72.64
3.02,4875.04,80.4,25.0,0.519,423.16,72.59
2.68,5092.84,81.1,30.0,0.566,449.4,72.6
2.54,4723.0,80.05,35.0,0.471,411.82,72.58
2.95,4683.27,79.91,40.0,0.494,407.61,72.62
3.17,4533.19,79.48,45.0,0.417,390.03,72.62
2.83,4318.85,79.46,50.0,0.394,387.24,72.89
3.33,4928.36,80.63,55.0,0.553,426.83,72.61
3.16,4997.26,80.87,60.0,0.571,430.52,72.66
2.81,5266.82,81.75,65.0,0.596,475.45,72.54
3.2,5168.5,81.41,70.0,0.604,447.85,72.69
2.79,5178.46,81.52,75.0,0.599,463.14,72.69
3.23,4652.52,79.92,80.0,0.463,409.09,72.57
3.0,5077.65,81.21,85.0,0.597,441.95,72.62
3.33,4728.02,80.16,90.0,0.484,413.22,72.62
2.99,5433.45,82.36,95.0,0.676,493.91,72.62
2.6,5495.51,82.64,100.0,0.681,512.02,72.58
3.2,5053.65,81.18,105.0,0.578,427.53,72.65
2.98,4842.7,80.59,110.0,0.497,423.81,72.6
3.04,5197.97,81.68,115.0,0.616,450.75,72.65
3.16,5463.1,82.53,120.0,0.669,493.9,72.66
3.29,4543.2,79.75,125.0,0.471,398.31,72.63
2.77,4801.72,80.56,130.0,0.522,421.74,72.54
2.78,4542.97,80.1,135.0,0.516,402.9,72.89
3.27,5203.12,81.75,140.0,0.62,443.43,72.63
2.57,4793.96,80.61,145.0,0.528,420.67,72.67
2.83,5187.57,81.8,150.0,0.609,459.81,72.61
3.28,4895.17,80.86,155.0,0.561,421.25,72.61
2.84,4772.85,80.57,160.0,0.512,419.21,72.64
3.09,5212.94,81.9,165.0,0.629,452.4,72.59
3.08,4302.51,79.33,170.0,0.415,376.56,72.48
2.89,4249.54,79.16,175.0,0.419,370.72,72.4
2.54,5130.67,81.77,180.0,0.623,456.97,72.65
2.84,4802.16,80.74,185.0,0.554,416.68,72.58
2.43,4745.13,80.64,190.0,0.537,414.16,72.55
2.95,4438.37,79.77,195.0,0.453,381.2,72.6
3.06,4987.04,81.33,200.0,0.609,434.44,72.6
3.05,5323.1,82.41,205.0,0.655,478.02,72.6
2.9,5264.94,82.26,210.0,0.643,464.43,72.57
2.77,5304.14,82.43,215.0,0.641,469.78,72.67
2.94,4935.65,81.26,220.0,0.585,427.26,72.62
2.51,5375.85,82.74,225.0,0.691,492.95,72.65
2.94,5065.86,81.7,230.0,0.665,433.69,72.63
3.11,4518.24,80.04,235.0,0.498,394.27,72.55
2.83,4785.59,80.88,240.0,0.537,419.35,72.63
2.92,5264.49,82.39,245.0,0.703,471.67,72.62
3.42,4686.6,80.55,250.0,0.509,406.1,72.6
2.96,5421.49,82.94,255.0,0.739,487.28,72.57
2.93,4491.33,80.21,260.0,0.51,389.16,72.72
3.01,4989.48,81.57,265.0,0.587,433.48,72.58
2.85,5344.75,82.76,270.0,0.711,470.83,72.59
3.22,5201.33,82.25,275.0,0.655,447.66,72.55
2.51,4634.66,80.59,280.0,0.506,393.91,72.66
2.83,4748.99,80.92,285.0,0.544,422.91,72.59
2.91,4351.16,79.93,290.0,0.468,380.87,72.63
2.66,5365.4,82.94,295.0,0.655,489.42,72.57
2.5,4804.11,80.89,300.0,0.602,421.89,72.41
3.18,5446.51,83.18,305.0,0.727,484.4,72.61
2.72,4347.39,79.8,310.0,0.478,368.75,72.35
2.99,4416.97,80.11,315.0,0.507,371.52,72.6
3.42,5031.12,81.84,320.0,0.68,439.33,72.65
2.41,4661.07,80.81,325.0,0.548,405.49,72.51
2.7,4622.03,80.7,330.0,0.565,397.21,72.66
3.03,4850.68,81.38,335.0,0.606,417.65,72.61
2.96,5143.79,82.34,340.0,0.705,445.87,72.58
2.76,5268.35,82.79,345.0,0.712,467.66,72.56
2.54,4889.78,81.61,350.0,0.61,430.34,72.7
3.35,5136.04,82.31,355.0,0.697,434.99,72.6
3.2,5185.11,82.51,360.0,0.691,442.7,72.61
2.63,4622.3,80.82,365.0,0.538,407.65,72.56
2.71,5143.9,82.48,370.0,0.689,439.98,72.67
2.98,4890.87,81.65,375.0,0.581,432.2,72.68
2.97,4863.23,81.58,380.0,0.643,418.54,72.58
3.38,4729.36,81.13,385.0,0.59,417.26,72.58
3.31,5216.34,82.71,390.0,0.71,458.03,72.56
3.36,4811.16,81.42,395.0,0.634,412.94,72.65
2.85,4695.64,81.14,400.0,0.553,409.94,72.63
3.14,4981.7,82.02,405.0,0.645,433.81,72.59
2.49,4899.44,81.86,410.0,0.671,435.96,72.58
2.44,4853.42,81.74,415.0,0.622,424.12,72.53
3.17,4402.07,80.4,420.0,0.535,383.57,72.64
2.97,4768.47,81.44,425.0,0.601,420.71,72.59
2.87,4522.72,80.71,430.0,0.538,390.09,72.62
3.01,5252.28,83.05,435.0,0.747,474.18,72.62
2.69,4821.49,81.7,440.0,0.634,417.11,72.59
3.16,5277.81,83.15,445.0,0.75,461.79,72.58
2.61,4550.88,80.9,450.0,0.558,392.5,72.54
3.02,4593.92,81.0,455.0,0.602,401.41,72.61
2.77,5082.71,82.61,460.0,0.67,446.47,72.67
3.02,5363.12,83.54,465.0,0.818,481.99,72.61
3.05,5184.84,82.95,470.0,0.758,450.75,72.59
2.69,5062.45,82.61,475.0,0.71,442.63,72.58
2.9,5163.61,82.94,480.0,0.741,449.32,72.61
2.57,4986.95,82.41,485.0,0.687,443.34,72.6
3.13,4515.42,80.63,490.0,0.588,385.12,72.4
2.75,4723.71,81.57,495.0,0.632,427.0,72.62
2.24,4855.6,82.08,500.0,0.655,427.81,72.62
2.49,5172.79,83.13,505.0,0.749,454.56,72.63
2.93,5073.79,82.75,510.0,0.741,436.82,72.64
3.08,4552.6,81.07,515.0,0.584,401.24,72.57
3.35,5112.19,82.85,520.0,0.733,432.78,72.59
3.14,4378.62,80.7,525.0,0.543,381.39,72.59
2.47,5012.78,82.68,530.0,0.723,432.14,72.64
2.86,3742.56,79.59,535.0,0.401,328.3,72.58
3.49,5495.45,84.23,540.0,0.864,493.89,72.58
2.65,4854.43,82.19,545.0,0.682,425.13,72.65
3.51,5222.81,81.5,5.0,0.566,454.48,72.57
2.32,4991.7,80.95,10.0,0.507,456.88,72.57
2.69,4800.31,80.36,15.0,0.493,433.02,72.52
3.1,5223.77,81.61,20.0,0.564,465.59,72.68
2.77,4758.66,80.26,25.0,0.5,423.11,72.68
2.99,5130.31,81.37,30.0,0.585,451.43,72.64
2.61,4922.5,80.8,35.0,0.506,437.41,72.54
2.92,5143.39,81.45,40.0,0.524,458.88,72.65
2.56,4941.75,80.89,45.0,0.504,443.52,72.6
2.77,5070.8,81.28,50.0,0.534,447.34,72.51
2.8,4910.01,80.8,55.0,0.497,440.3,72.66
2.67,5001.14,81.11,60.0,0.593,452.57,72.62
2.87,4867.87,80.7,65.0,0.535,437.71,72.76
3.04,5117.78,81.46,70.0,0.56,447.4,72.45
3.0,5198.81,81.74,75.0,0.615,464.71,72.65
2.83,5306.96,82.13,80.0,0.601,487.16,72.55
2.96,5066.67,81.37,85.0,0.563,452.61,72.61
2.39,4900.4,80.95,90.0,0.519,430.84,72.52
2.43,4975.09,81.19,95.0,0.562,444.47,72.64
3.12,4784.24,80.55,100.0,0.515,421.18,72.62
3.04,4644.87,80.03,105.0,0.461,407.78,72.49
3.23,5364.74,82.38,110.0,0.659,492.19,72.65
2.93,5465.48,82.77,115.0,0.658,516.83,72.53
3.25,5408.88,82.56,120.0,0.652,488.41,72.53
2.72,5281.07,82.23,125.0,0.628,476.48,72.65
2.62,4758.79,80.62,130.0,0.473,430.51,72.49
2.97,5467.96,82.85,135.0,0.685,510.86,72.63
3.11,5079.58,81.59,140.0,0.609,446.98,72.59
3.06,4926.6,81.13,145.0,0.548,438.88,72.57
3.22,4766.04,80.65,150.0,0.515,421.35,72.6
2.98,5221.79,82.12,155.0,0.637,473.4,72.57
2.57,4850.71,81.02,160.0,0.521,428.19,72.65
2.56,5169.72,82.04,165.0,0.652,459.0,72.6
3.14,4986.47,81.4,170.0,0.551,431.99,72.62
3.19,4481.69,79.92,175.0,0.435,409.0,72.61
2.64,4585.74,80.28,180.0,0.495,408.26,72.67
3.32,5237.58,82.23,185.0,0.643,468.69,72.59
2.87,4698.52,80.62,190.0,0.532,422.39,72.59
2.96,5104.08,81.89,195.0,0.6,447.55,72.64
2.59,4866.89,81.2,200.0,0.564,426.61,72.61
2.27,4599.6,80.44,205.0,0.488,407.3,72.53
3.03,5364.22,82.78,210.0,0.68,487.7,72.66
3.02,5304.68,82.61,215.0,0.712,489.83,72.69
2.67,4941.56,81.5,220.0,0.602,438.0,72.66
2.97,4987.64,81.62,225.0,0.609,444.19,72.6
2.62,4896.59,81.4,230.0,0.577,440.23,72.67
2.73,4583.64,80.27,235.0,0.525,408.71,72.37
3.01,4389.4,79.99,240.0,0.454,393.91,72.58
2.9,4916.1,81.48,245.0,0.6,438.59,72.6
3.17,4779.23,81.04,250.0,0.621,415.48,72.6
3.1,4989.63,81.72,255.0,0.606,451.9,72.55
2.95,5202.87,82.45,260.0,0.669,466.93,72.51
2.44,4740.77,81.06,265.0,0.568,427.77,72.6
3.34,4343.37,79.98,270.0,0.437,384.91,72.63
2.92,4908.36,81.56,275.0,0.607,436.87,72.68
3.52,4506.85,80.28,280.0,0.529,401.34,72.51
2.99,4277.74,80.08,285.0,0.421,382.48,72.8
2.94,5007.4,81.93,290.0,0.644,437.69,72.62
2.5,4531.51,80.51,295.0,0.508,413.22,72.51
2.93,5109.48,82.3,300.0,0.662,453.25,72.58
2.91,4850.16,81.48,305.0,0.564,429.08,72.59
3.03,5182.08,82.56,310.0,0.65,455.8,72.65
2.97,4665.15,80.93,315.0,0.519,421.22,72.58
3.22,4797.99,81.33,320.0,0.569,420.6,72.62
2.85,5068.78,82.27,325.0,0.67,447.89,72.63
3.09,5266.15,82.91,330.0,0.718,467.45,72.63
3.27,5110.78,82.39,335.0,0.691,451.56,72.67
2.98,5464.67,83.65,340.0,0.781,518.9,72.66
3.07,5047.92,82.24,345.0,0.672,445.75,72.54
2.99,5186.65,82.73,350.0,0.669,471.49,72.6
3.41,5379.65,83.34,355.0,0.774,490.74,72.55
3.35,4932.59,81.88,360.0,0.632,431.99,72.63
2.75,4878.24,81.8,365.0,0.601,432.01,72.62
3.24,5260.29,83.02,370.0,0.714,472.21,72.61
2.89,5130.65,82.65,375.0,0.706,458.39,72.65
3.17,4904.0,81.88,380.0,0.652,432.26,72.67
2.9,5217.86,82.98,385.0,0.722,460.2,72.64
3.38,5426.07,83.64,390.0,0.781,495.4,72.66
3.07,4604.88,80.69,395.0,0.556,405.07,72.4
3.18,4612.35,81.03,400.0,0.581,408.63,72.58
3.32,4719.87,81.36,405.0,0.568,413.19,72.63
3.41,5123.47,82.68,410.0,0.691,457.15,72.48
3.03,4959.7,82.21,415.0,0.662,439.3,72.57
2.76,4921.6,82.14,420.0,0.7,439.41,72.59
2.87,4663.54,81.31,425.0,0.605,417.46,72.6
2.53,4716.74,82.05,430.0,0.608,427.24,73.05
2.88,4538.2,80.95,435.0,0.548,405.44,72.5
2.97,4980.39,82.38,440.0,0.655,446.15,72.67
2.87,5048.27,82.64,445.0,0.667,451.63,72.59
2.65,4740.76,81.67,450.0,0.631,416.43,72.63
2.49,4295.93,80.62,455.0,0.505,385.17,72.61
3.51,5152.43,82.95,460.0,0.716,460.87,72.66
2.73,4778.18,81.84,465.0,0.642,428.74,72.56
3.13,5019.73,82.6,470.0,0.688,447.35,72.62
2.77,5218.49,83.35,475.0,0.752,469.2,72.57
2.84,4908.51,82.31,480.0,0.654,434.17,72.47
2.96,5247.86,83.46,485.0,0.784,483.21,72.58
2.77,5242.65,83.5,490.0,0.745,467.27,72.53
3.22,4164.76,80.07,495.0,0.47,359.88,72.35
3.24,5044.61,82.78,500.0,0.72,444.85,72.57
2.62,4657.64,81.61,505.0,0.589,420.74,72.56
